Lido staking APR(instant),Lido staking APR(ma_30),Lido staking APR(ma_7),protocol APR(ma_7),protocol_apr,time
3.3765744317456408,3.645108344526949,3.5989559387835617,3.99883993198173,3.7517493686062675,2024-01-08 12:23:59.000 UTC
3.132510646468165,3.6626694340975177,3.567482268333555,3.9638691870372775,3.480567384964628,2024-01-07 12:21:35.000 UTC
3.26298561256265,3.6936643085535983,3.581408583884486,3.979342870982756,3.6255395695140553,2024-01-06 12:23:35.000 UTC
3.49113190253396,3.7193481516187203,3.5843133425107774,3.9825703805675237,3.8790354472599557,2024-01-05 12:22:35.000 UTC
5.275326855982879,3.7393379024649698,3.612670998958501,4.014078887731662,5.861474284425421,2024-01-04 12:22:11.000 UTC
3.366449193655372,3.6971681886658976,3.4149524145811605,3.794391571756838,3.7404991040615245,2024-01-03 12:22:23.000 UTC
3.2877129285362323,3.7098480142680708,3.432824162645494,3.814249069606098,3.6530143650402582,2024-01-02 12:23:59.000 UTC
3.1562587385955916,3.716064270733633,3.43597794079378,3.817753267548638,3.5069541539951015,2024-01-01 12:22:35.000 UTC
3.229994855324683,3.735547832554867,3.5040951861366807,3.8934390957074165,3.5888831725829813,2023-12-31 12:25:11.000 UTC
3.2833189229466866,3.757508379667856,3.5367245096540585,3.929693899615614,3.6481321366074293,2023-12-30 12:24:23.000 UTC
3.689635497668029,3.776882625199812,3.5852748495104083,3.9836387216782247,4.099594997408921,2023-12-29 12:23:47.000 UTC
3.8912967653414925,3.7872219518003947,3.5768848537176936,3.9743165041307633,4.323663072601658,2023-12-28 12:21:59.000 UTC
3.491551430105708,3.779717848076813,3.623456592996418,4.026062881107125,3.879501589006342,2023-12-27 12:22:23.000 UTC
3.3097893755742356,3.7803352945552127,3.659221809480663,4.065802010534063,3.6775437506380393,2023-12-26 12:22:23.000 UTC
3.633079455995896,3.780904833426459,3.7208765201572644,4.134307244619175,4.036754951106551,2023-12-25 12:21:59.000 UTC
3.4584001199463295,3.777509202391403,3.7181397397100135,4.131266377455563,3.842666799940366,2023-12-24 12:23:47.000 UTC
3.623171301941134,3.780410173551405,3.7952299239167204,4.216922137685239,4.0257458910457045,2023-12-23 12:25:23.000 UTC
3.6309055271190256,3.790887686870776,3.8212869413013513,4.245874379223717,4.034339474576695,2023-12-22 12:25:23.000 UTC
4.217298940292564,3.8050411091899585,3.8896198362276526,4.321799818030719,4.685887711436182,2023-12-21 12:23:47.000 UTC
3.741907945495425,3.7833793756658483,3.806297650542374,4.229219611713743,4.157675494994916,2023-12-20 12:21:59.000 UTC
3.741372350310445,3.7763269616848256,3.8013922774079285,4.223769197119915,4.157080389233827,2023-12-19 12:20:23.000 UTC
3.61392199286514,3.7647452766189358,3.84190715115545,4.26878572350605,4.015468880961266,2023-12-18 12:21:47.000 UTC
3.998031409393279,3.76741350433452,3.864835978990126,4.294262198877912,4.442257121548088,2023-12-17 12:23:23.000 UTC
3.805570423633552,3.7540006135221407,3.77866059077256,4.198511767525061,4.228411581815058,2023-12-16 12:25:59.000 UTC
4.109235791603138,3.7555079646364726,3.792637261519579,4.214041401688415,4.565817546225708,2023-12-15 12:22:59.000 UTC
3.634043640495616,3.7544692364690677,3.7859402741692127,4.206600304632452,4.03782626721735,2023-12-14 12:24:23.000 UTC
3.7075703335543038,3.7779497347068873,3.843005597600741,4.270006219556373,4.119522592838115,2023-12-13 12:23:23.000 UTC
4.0249764665430945,3.78193064345686,3.897756182510332,4.330840202789251,4.472196073936772,2023-12-12 12:24:35.000 UTC
3.774423787707874,3.771056025481868,3.895650321862849,4.328500357625382,4.193804208564305,2023-12-11 12:21:35.000 UTC
3.394803691870316,3.7742891375407646,3.891710346721806,4.324122607468667,3.772004102078129,2023-12-10 12:20:59.000 UTC
3.9034071188626824,3.815142325727277,3.903052765383632,4.336725294870697,4.337119020958536,2023-12-09 12:21:59.000 UTC
4.062356880150572,3.814455412302341,3.8798182617221957,4.310909179691323,4.513729866833969,2023-12-08 12:23:11.000 UTC
4.033500904516317,3.807476421720473,3.8550260315170197,4.283362257241127,4.4816676716847965,2023-12-07 12:24:59.000 UTC
4.09082442792144,3.7959238818550007,3.830889657858313,4.2565440642870085,4.545360475468267,2023-12-06 12:25:35.000 UTC
4.010235442010714,3.7832237238205995,3.817888353253179,4.242098170281305,4.455817157789682,2023-12-05 12:22:35.000 UTC
3.7468439617205758,3.7644728750694143,3.76873666919937,4.187485187999294,4.163159957467307,2023-12-04 12:22:11.000 UTC
3.4742006225030995,3.760964406026085,3.7349125067332443,4.149902785259154,3.8602229138923327,2023-12-03 12:24:59.000 UTC
3.7407655932326254,3.7655253951507537,3.7138660666201764,4.126517851800189,4.156406214702917,2023-12-02 12:24:59.000 UTC
3.8888112687143415,3.7714306519791636,3.6839296282932628,4.093255142548063,4.320901409682602,2023-12-01 12:22:35.000 UTC
3.864546288905369,3.7702634353038125,3.6348750548692697,4.038750060965849,4.293940321005966,2023-11-30 12:23:11.000 UTC
3.9998152956855058,3.772198137363519,3.6452965423859665,4.050329491539956,4.44423921742834,2023-11-29 12:27:47.000 UTC
3.6661736536340466,3.7545908843262406,3.6532526711015376,4.059169634557257,4.0735262818156075,2023-11-28 12:25:47.000 UTC
3.510074824457695,3.7460489975737077,3.6391488540922823,4.0434987267691955,3.9000831382863277,2023-11-27 12:27:35.000 UTC
3.326875541711623,3.7750596755353953,3.642043240036146,4.046714711151267,3.696528379679581,2023-11-26 12:25:23.000 UTC
3.5312105249442296,3.7923974433913923,3.6516212766964484,4.057356974107158,3.9235672499380327,2023-11-25 12:27:35.000 UTC
3.5454292547463933,3.807537124098627,3.674872462323369,4.083191624803737,3.9393658386071033,2023-11-24 12:25:11.000 UTC
3.9374967015222446,3.8105452958404635,3.6820460952198713,4.091162328022073,4.374996335024716,2023-11-23 12:27:23.000 UTC
4.055508196694502,3.8193685200959777,3.669659560297195,4.077399511441322,4.506120218549447,2023-11-22 12:27:59.000 UTC
3.5674469345692588,3.8028789058728805,3.6728832388524064,4.080981376502668,3.963829927299176,2023-11-21 12:23:35.000 UTC
3.530335526064745,3.7972511911755498,3.7830277607182565,4.203364178575835,3.922595028960828,2023-11-20 12:27:11.000 UTC
3.393921798333735,3.803476944183884,3.8254080564309314,4.250453396034363,3.7710242203708164,2023-11-19 12:25:47.000 UTC
3.693968824332674,3.8156606349336175,3.868953217710875,4.298836908567633,4.1044098048140825,2023-11-18 12:25:23.000 UTC
3.5956446850219113,3.807575731696562,3.8943029784454617,4.32700330938384,3.9951607611354567,2023-11-17 12:22:11.000 UTC
3.850790957063514,3.8360675727397306,4.040696500223143,4.489662778025709,4.27865661895946,2023-11-16 12:23:23.000 UTC
4.0780739465809805,3.8390793010603748,4.045269180087585,4.494743533430643,4.531193273978867,2023-11-15 12:23:11.000 UTC
4.338458587630212,3.8161951814388724,4.013113925246665,4.459015472496288,4.820509541811346,2023-11-14 12:29:59.000 UTC
3.8269975960534692,3.777261777891793,3.920037656806941,4.35559739645215,4.252219551170521,2023-11-13 12:25:11.000 UTC
3.6987379272933385,3.7637742259367486,3.9032979554977905,4.336997728330871,4.10970880810371,2023-11-12 12:24:47.000 UTC
